FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
103,1299,Jackson,Florida,12,063,12063,50086,52.5,49746,52.1,34373,13231,335,239,51,2143,596,921,27252,22494,2610,2769,2697,3170,3237,6344,7087,7537,6494,4355,2477,969,40.6,39.1,43,17417,2.4,2258,2769,2957,5078,520,1752,11637,2.92,21003,3586,12880,4537,1160,226,117569,79907,954.7,2.13991551651,0.230022098018,3318450778.11719,252639.817806282,3c7c120f-b536-4ac8-ae20-eeb6b4613679
104,1300,Jefferson,Florida,12,065,12065,14547,23.8,14761,24.1,8912,5340,37,57,5,546,221,189,7727,7034,777,766,756,765,810,1769,1920,2427,2339,1413,724,295,44.1,42.2,46.3,5646,2.38,742,847,872,1798,136,489,3798,2.89,6632,986,4366,1280,617,210,24608,78292,611.77,2.01646141413,0.152455736631,2191154048.54102,243716.110779086,9e5ba73f-a801-4b38-b84d-7be49a6ae7b3
105,1301,Lafayette,Florida,12,067,12067,8476,15.5,8870,16.2,6868,1411,38,13,2,1076,418,120,5481,3389,487,541,466,541,813,1424,1363,1225,926,641,331,112,36.1,34.9,38.7,2580,2.63,321,303,630,769,84,197,1818,3.1,3328,748,1955,625,221,413,22340,396215,547.76,1.74203005073,0.133974433606,1916864678.55273,208534.247995996,1c5ba6a7-b368-4832-849c-44fbfb8c90c4
106,1302,Lake,Florida,12,069,12069,339742,293.6,297052,256.7,243624,29103,1472,5173,215,36009,10778,6687,143937,153115,16233,17115,17575,17224,13499,28912,35306,39751,39612,39112,24330,8383,45.7,44.4,46.9,121289,2.42,12305,18274,21246,44737,2949,8326,83792,2.86,144996,23707,92802,28487,1784,85,36001,79631,1157.08,2.97995571893,0.280013358827,3958408824.11328,360452.320576801,0c34941b-9406-448c-8052-742e759967c2
107,1303,Lee,Florida,12,071,12071,720426,880.2,618754,756,513496,51069,2193,8461,380,113308,30290,12865,303600,315154,32866,33330,33995,35161,32993,65878,70476,81757,87192,80910,47595,16601,45.6,44.2,46.9,259818,2.35,29764,39580,39646,92780,7037,17568,171026,2.81,371099,111281,184477,75341,844,103,22816,125478,818.47,2.8855408799,0.176968943896,2452170065.14648,340857.019526062,b926b6d4-fe74-4ce3-8544-cb4d0cdd0e66
108,1304,Leon,Florida,12,073,12073,288630,411.1,275487,392.4,173480,83520,775,8053,140,15361,3397,6122,131134,144353,15350,14877,14690,27231,43722,39954,30360,33593,29730,14633,7930,3417,29.7,28.9,30.6,110945,2.35,14548,18818,17190,23484,2366,10094,60908,2.94,124136,13191,60393,50552,284,286,6563,13492,702.05,2.07160710959,0.17124782972,2461992234.59375,243056.915932038,0e725967-d952-45f2-bb40-91c95d9d70bb
109,1305,Levy,Florida,12,075,12075,41097,36.2,40801,36,34876,3832,170,229,24,3047,879,791,20078,20723,2299,2300,2426,2591,2086,4097,4594,6190,6304,4810,2431,673,45,44.3,45.5,16404,2.45,2023,2234,2759,5311,478,1349,11067,2.91,20123,3719,13155,3249,1053,159,59835,76335,1134.28,2.40527950084,0.270873203768,3850077259.99414,285351.836300085,70e6ce8b-7266-4464-9472-ecb17a5c8954
110,1306,Liberty,Florida,12,077,12077,8737,10.4,8365,9.9,6462,1497,89,17,0,518,158,142,5092,3273,462,493,517,493,548,1387,1311,1368,898,539,284,65,37.1,36.5,38.4,2525,2.57,305,328,548,713,100,260,1775,3.05,3357,832,1909,616,80,177,1169,18750,843.54,2.33422942135,0.207052706878,2970096696.54297,279027.825385024,a3769eb3-0ccb-4c95-8ac5-8a93b4f76a75
111,1307,Madison,Florida,12,079,12079,18862,26.4,19224,26.9,11070,7460,93,47,0,899,302,252,10035,9189,1215,1075,1100,1346,1279,2393,2354,2787,2630,1736,921,388,40.2,38.6,42.1,6985,2.48,890,1038,1143,2036,163,830,4778,3,8481,1496,5187,1798,669,214,38497,77463,715.73,1.90531030824,0.171875676778,2470583070.77734,224402.522020878,26245d06-bec2-4e6a-86ce-d6bd9b1da976
112,1308,Manatee,Florida,12,081,12081,376566,500.4,322833,429,264322,28230,1044,5275,218,47955,17260,6484,156115,166718,18322,18136,18527,18100,16031,32753,36727,44048,45080,38985,26196,9928,45.6,44.2,47,135729,2.34,15696,22946,21272,46506,3363,9550,88149,2.85,172690,36961,96818,38911,689,271,70380,433160,752.48,2.74737384795,0.17360115088,2424614016.24414,318024.323415027,d761fdfe-a8ee-40a5-a369-36157bfb9ccd
